,N,p_left,p_right
1643783768200.0,17,0.8235294117647058,0.17647058823529413
1643783868200.0,57,0.7017543859649122,0.2982456140350877
1643784206100.0,44,0.6363636363636364,0.36363636363636365
1643784635000.0,5,1.0,0.0
1643784735000.0,6,1.0,0.0
1643784835000.0,19,1.0,0.0
1643785200000.0,4,0.25,0.75
1643785300000.0,2,1.0,0.0
1643785400000.0,7,0.8571428571428571,0.14285714285714285
1643785688800.0,103,0.6893203883495146,0.3106796116504854
1643786326800.0,4,0.75,0.25
1643786694100.0,1,1.0,0.0
1643786794100.0,4,0.75,0.25
1643786894100.0,11,0.5454545454545454,0.45454545454545453
1643786994100.0,16,0.75,0.25
1643787517800.0,96,0.6354166666666666,0.3645833333333333
1643788004500.0,14,0.5714285714285714,0.42857142857142855
1643788197600.0,8,0.125,0.875
1643788423300.0,13,0.07692307692307693,0.9230769230769231
1643788675000.0,15,0.8666666666666667,0.13333333333333333
1643788894300.0,54,0.7592592592592593,0.24074074074074073
1643789400900.0,10,0.5,0.5
1643789579300.0,34,0.7352941176470589,0.2647058823529412
1643789902700.0,9,0.3333333333333333,0.6666666666666666
1643790191800.0,8,0.375,0.625
1643790432600.0,10,0.6,0.4
1643790532600.0,18,0.8888888888888888,0.1111111111111111
1643790632600.0,24,0.6666666666666666,0.3333333333333333
1643790760500.0,28,0.7142857142857143,0.2857142857142857
1643791014800.0,14,0.7142857142857143,0.2857142857142857
1643791114800.0,25,0.6,0.4
1643791214800.0,28,0.6071428571428571,0.39285714285714285
1643791605400.0,14,0.7142857142857143,0.2857142857142857
1643791945700.0,17,0.35294117647058826,0.6470588235294118
1643792108100.0,53,0.49056603773584906,0.5094339622641509
1643842971600.0,1,1.0,0.0
1643843071600.0,1,1.0,0.0
1643843171600.0,1,1.0,0.0
1643843273700.0,2,1.0,0.0
1643843512600.0,2,1.0,0.0
1643843612600.0,3,1.0,0.0
1643843712600.0,3,1.0,0.0
1643844185500.0,1,1.0,0.0
1643846400000.0,1,1.0,0.0
1643847285800.0,2,1.0,0.0
1643859326900.0,1,1.0,0.0
1643860877800.0,1,0.0,1.0
1643861102800.0,1,1.0,0.0
1643861205400.0,2,1.0,0.0
1643861757800.0,2,1.0,0.0
1643861961700.0,2,1.0,0.0
1643862178200.0,2,1.0,0.0
1643862368300.0,1,0.0,1.0
1643862502300.0,2,0.5,0.5
1643864400000.0,2,0.5,0.5
1643864500000.0,1,1.0,0.0
1643864821600.0,1,1.0,0.0
1643864925300.0,1,1.0,0.0
1643865026600.0,1,1.0,0.0
1643865126600.0,4,1.0,0.0
1643866111500.0,1,1.0,0.0
1643866521400.0,1,1.0,0.0
1643866977500.0,1,1.0,0.0
1643867077500.0,15,0.5333333333333333,0.4666666666666667
1643867524400.0,2,0.5,0.5
1643867657500.0,2,1.0,0.0
1643867757500.0,5,0.6,0.4
1643867857500.0,4,0.75,0.25
1643868000000.0,6,0.8333333333333334,0.16666666666666666
1643868100000.0,4,1.0,0.0
1643868394900.0,4,1.0,0.0
1643868616000.0,5,0.8,0.2
1643868716000.0,5,0.8,0.2
1643868816000.0,12,0.8333333333333334,0.16666666666666666
1643868916000.0,17,0.9411764705882353,0.058823529411764705
1643869262900.0,2,1.0,0.0
1643869433600.0,4,0.5,0.5
1643869533600.0,8,0.625,0.375
1643869774500.0,10,0.8,0.2
1643869956800.0,10,0.6,0.4
1643870362500.0,15,0.6,0.4
1643870462500.0,22,0.7727272727272727,0.22727272727272727
1643870979700.0,3,0.3333333333333333,0.6666666666666666
1643871079700.0,9,0.7777777777777778,0.2222222222222222
1643871233200.0,8,0.875,0.125
1643871448700.0,8,0.625,0.375
1643871548700.0,28,0.6785714285714286,0.32142857142857145
1643871764900.0,96,0.625,0.375
1643872311100.0,8,0.875,0.125
1643872683200.0,9,1.0,0.0
1643873131100.0,4,0.75,0.25
1643873231100.0,7,0.7142857142857143,0.2857142857142857
1643873850400.0,8,0.5,0.5
1643874444100.0,7,0.7142857142857143,0.2857142857142857
1643874544100.0,12,0.8333333333333334,0.16666666666666666
1643874644100.0,13,0.8461538461538461,0.15384615384615385
1643874744100.0,18,0.7777777777777778,0.2222222222222222
1643874844100.0,22,0.7272727272727273,0.2727272727272727
1643875336800.0,44,0.6818181818181818,0.3181818181818182
1643875873900.0,14,0.6428571428571429,0.35714285714285715
1643876209400.0,12,0.6666666666666666,0.3333333333333333
1643876309400.0,10,0.3,0.7
1643876553700.0,8,0.75,0.25
1643876860000.0,7,0.7142857142857143,0.2857142857142857
1643876960000.0,18,0.8888888888888888,0.1111111111111111
1643877060000.0,28,0.8214285714285714,0.17857142857142858
1643877350700.0,4,0.75,0.25
1643877680100.0,13,0.6153846153846154,0.38461538461538464
1643877819800.0,21,0.8095238095238095,0.19047619047619047
1643878227300.0,12,0.4166666666666667,0.5833333333333334
1643878327300.0,15,0.4666666666666667,0.5333333333333333
1643878427300.0,15,0.4,0.6
1643878527300.0,37,0.7027027027027027,0.2972972972972973
1643929200000.0,4,0.25,0.75
1643929300000.0,4,0.25,0.75
1643929400000.0,5,0.6,0.4
1643929540900.0,5,0.6,0.4
1643929640900.0,8,0.75,0.25
1643929740900.0,8,0.75,0.25
1643930031600.0,5,0.2,0.8
1643930674800.0,1,0.0,1.0
1643932857400.0,1,1.0,0.0
1643945576400.0,1,0.0,1.0
1643947524000.0,1,1.0,0.0
1643948365200.0,1,1.0,0.0
1643948577300.0,2,1.0,0.0
1643948813600.0,2,0.0,1.0
1643948963300.0,4,1.0,0.0
1643949814000.0,5,0.4,0.6
1643950831100.0,1,1.0,0.0
1643951227400.0,1,0.0,1.0
1643951327400.0,2,1.0,0.0
1643951569700.0,1,1.0,0.0
1643952587500.0,1,1.0,0.0
1643952795900.0,1,0.0,1.0
1643953082600.0,6,0.8333333333333334,0.16666666666666666
1643953182600.0,11,0.8181818181818182,0.18181818181818182
1643953332800.0,9,0.7777777777777778,0.2222222222222222
1643953432800.0,15,0.7333333333333333,0.26666666666666666
1643953602000.0,20,0.8,0.2
1643953846000.0,13,1.0,0.0
1643953946000.0,24,0.75,0.25
1643954235300.0,4,1.0,0.0
1643954335300.0,11,0.8181818181818182,0.18181818181818182
1643954458700.0,25,0.6,0.4
1643954757800.0,5,0.8,0.2
1643955007000.0,3,1.0,0.0
1643955107000.0,4,0.75,0.25
1643955507600.0,1,0.0,1.0
1643955632600.0,2,1.0,0.0
1643955732600.0,7,1.0,0.0
1643955832600.0,9,0.7777777777777778,0.2222222222222222
1643955932600.0,13,0.9230769230769231,0.07692307692307693
1643956032600.0,14,0.8571428571428571,0.14285714285714285
1643956286200.0,8,0.625,0.375
1643956762200.0,6,0.6666666666666666,0.3333333333333333
1643956862200.0,10,0.8,0.2
1643956962200.0,9,0.7777777777777778,0.2222222222222222
1643957134600.0,35,0.8571428571428571,0.14285714285714285
1643957564800.0,7,0.8571428571428571,0.14285714285714285
1643957664800.0,7,0.8571428571428571,0.14285714285714285
1643957764800.0,12,0.75,0.25
1643958000000.0,12,0.9166666666666666,0.08333333333333333
1643958234100.0,5,1.0,0.0
1643958386400.0,3,0.6666666666666666,0.3333333333333333
1643958727600.0,7,0.5714285714285714,0.42857142857142855
1643958827600.0,16,0.625,0.375
1643959224600.0,2,1.0,0.0
1643959324600.0,2,1.0,0.0
1643959567400.0,2,1.0,0.0
1643959667400.0,6,0.8333333333333334,0.16666666666666666
1643960141800.0,9,0.8888888888888888,0.1111111111111111
1643960459500.0,11,0.8181818181818182,0.18181818181818182
1643960559500.0,9,1.0,0.0
1643960796400.0,8,0.875,0.125
1643960896400.0,11,0.7272727272727273,0.2727272727272727
1643960996400.0,15,0.6666666666666666,0.3333333333333333
1643961096400.0,17,0.7647058823529411,0.23529411764705882
1643961196400.0,24,0.75,0.25
1643961469500.0,22,0.7272727272727273,0.2727272727272727
1643961694100.0,58,0.6896551724137931,0.3103448275862069
1643962048500.0,62,0.8225806451612904,0.1774193548387097
1643962310000.0,12,0.9166666666666666,0.08333333333333333
1643962776300.0,10,0.6,0.4
1643962876300.0,14,0.7857142857142857,0.21428571428571427
1643962998400.0,13,0.6153846153846154,0.38461538461538464
1643963333400.0,14,0.7857142857142857,0.21428571428571427
1643963763000.0,10,0.6,0.4
